Wheat - Production and Area,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Australia,,NSW,,VIC,,QLD,,SA,,WA,,TAS,,NT,,ACT,
Year,hectares,tonnes,hectares,tonnes,hectares,tonnes,hectares,tonnes,hectares,tonnes,hectares,tonnes,hectares,tonnes,hectares,tonnes,hectares,tonnes
1861,"260,600","278,700","52,100","43,000","65,300","94,200",100,100,"110,800","97,300","5,500","5,700","26,900","38,500",,,,
1866,"331,200","262,700","53,300","27,600","72,300","95,600",800,900,"166,200","97,600","9,000","6,300","29,700","34,600",,,,
1871,"455,000","328,700","59,900","27,200","115,000","78,100","1,200","1,100","244,700","189,300","10,800","8,600","23,400","24,400",,,,
1876,"575,600","509,000","54,100","53,300","130,100","135,500","1,600","2,600","363,700","292,100","8,700","6,500","17,300","19,000",,,,
1877,"685,400","397,200","58,900","65,100","162,400","143,700","2,100","2,700","438,600","159,200","7,600","6,100","15,800","20,500",,,,
1878,"802,000","535,900","71,500","66,800","228,500","191,000","3,000","2,500","470,900","245,700","9,200","6,800","18,900","23,000",,,,
1879,"935,500","543,900","94,400","93,600","279,900","164,900","3,900","3,500","528,500","253,800","9,300","6,900","19,600","21,200",,,,
1880,"1,000,900","781,700","94,400","98,300","286,200","255,800","1,500",800,"590,100","387,900","10,400","10,500","18,300","28,400",,,,
1881,"1,235,400","635,500","102,400","101,100","395,500","264,700","4,400","6,100","701,600","234,100","11,200","9,000","20,200","20,400",,,,
1882,"1,212,400","583,400","89,800","92,600","375,000","237,200","1,900","1,100","715,800","220,000","8,900","6,000","20,900","26,600",,,,
1883,"1,231,600","584,700","100,100","110,000","392,300","238,200","4,200","4,000","706,800","200,100","9,200","6,800","18,900","25,800",,,,
1884,"1,341,400","971,700","117,300","118,200","446,900","423,800","1,700","1,200","747,100","398,500","11,600","10,200","16,700","19,900",,,,
1885,"1,371,500","831,400","111,400","116,200","443,700","283,900","4,600","5,300","786,100","397,700","11,900","10,400","13,800","17,800",,,,
1886,"1,206,000","489,200","107,200","74,300","412,800","249,600","2,100","1,400","659,700","140,400","11,900","9,200","12,200","14,300",,,,
1887,"1,384,700","809,300","136,700","159,600","426,000","329,300",700,600,"797,200","294,700","9,700","7,800","14,300","17,200",,,,
1888,"1,476,300","1,038,300","157,600","127,700","499,000","362,800","3,100","5,000","789,200","517,100","11,100","7,300","16,400","18,400",,,,
1889,"1,294,600","474,100","123,400","39,500","492,600","235,400",200,200,"649,500","168,300","12,400","8,500","16,500","22,300",,,,
1890,"1,430,000","926,000","169,900","178,700","477,000","312,900","3,000","3,700","745,800","396,500","14,400","13,700","19,900","20,600",,,,
1891,"1,306,600","737,800","134,900","99,300","463,400","347,000","4,200","5,700","677,300","255,700","13,700","12,700","13,100","17,500",,,,
1892,"1,349,600","698,600","144,300","107,800","539,300","372,300","7,600","10,700","628,300","175,100","10,900","7,200","19,300","25,500",,,,
1893,"1,392,500","891,300","183,300","185,400","543,300","403,200","12,500","12,600","615,400","251,300","14,200","11,100","23,800","27,700",,,,
1894,"1,587,300","1,010,500","240,300","176,900","594,600","415,200","11,500","11,200","701,200","370,400","17,300","14,100","22,400","22,700",,,,
1895,"1,497,200","757,900","262,000","191,500","555,900","311,500","11,300","14,800","638,200","211,600","8,700","4,600","21,100","23,700",,,,
1896,"1,425,000","496,800","241,500","141,300","571,700","154,300","5,200","3,400","571,000","161,300","9,400","4,900","26,200","31,700",,,,
1897,"1,732,500","568,100","350,500","240,800","639,700","193,000","14,000","16,400","685,400","76,300","12,700","6,600","30,200","35,000",,,,
1898,"1,762,800","768,300","402,000","287,200","670,700","287,900","23,400","27,500","616,200","109,200","15,700","11,100","34,800","45,400",,,,
1899,"2,213,200","1,126,900","534,000","252,300","871,800","532,900","18,700","16,500","723,900","238,800","30,400","23,700","34,500","62,700",,,,
1900,"2,272,100","1,087,600","577,200","370,000","876,400","414,700","21,300","16,700","737,000","229,900","34,200","26,300","26,000","30,000",,,,
1901,"2,293,200","1,315,700","619,400","440,200","816,400","485,700","32,100","32,500","774,300","306,100","30,100","21,100","21,000","30,200",,,,
1902,"2,070,400","1,049,300","563,400","403,000","710,000","330,100","35,300","46,000","705,600","217,900","38,300","26,000","17,800","26,200",,,,
1903,"2,086,600","336,700","517,900","43,100","807,100","69,900",800,200,"706,900","172,900","37,400","26,800","16,600","23,900",,,,
1904,"2,252,600","2,017,700","631,800","743,900","796,700","776,300","55,900","66,300","692,500","359,300","55,800","51,000","20,000","20,900",,,,
1905,"2,537,300","1,484,000","718,700","448,100","921,700","574,000","61,100","58,500","744,700","327,000","73,700","54,800","17,400","21,600",,,,
1906,"2,477,800","1,864,500","784,900","564,400","837,900","637,300","48,300","30,900","711,100","547,900","78,900","62,800","16,700","21,100",,,,
1907,"2,420,900","1,807,400","755,200","593,800","822,300","615,600","46,400","30,200","682,500","475,100","101,300","75,000","13,300","17,700",,,,
1908,"2,179,100","1,215,000","562,900","249,200","747,500","329,300","33,400","18,900","709,700","520,500","113,200","79,600","12,500","17,500",,,,
1909,"2,129,700","1,703,100","564,200","421,400","720,300","635,400","32,700","32,700","685,400","527,600","115,300","66,900","11,800","19,100",,,,
1910,"2,665,400","2,460,100","805,400","776,500","848,700","783,300","47,400","42,700","767,200","683,600","181,700","152,400","15,000","21,600",,,,
1911,"2,983,600","2,588,000","861,500","759,700","970,500","947,500","43,200","27,800","851,800","662,200","235,500","160,400","21,100","30,500",,,,
1912,"3,006,000","1,949,200","963,400","682,800","875,800","568,600","17,400","7,800","886,600","553,600","247,700","118,600","15,100","17,900",,,,
1913,"2,970,300","2,502,800","903,100","884,200","843,900","713,700","50,600","53,700","841,600","584,700","321,000","249,400","10,200","17,100",,,,
1914,"3,758,500","2,812,100","1,297,200","1,034,700","1,038,400","896,400","53,700","48,100","917,800","460,700","444,000","362,600","7,500","9,500",,,,
1915,"3,905,700","677,300","1,116,100","349,200","1,158,800","107,300","51,400","43,100","1,012,800","95,900","556,900","71,400","9,700","10,500",,,,
1916,"5,052,300","4,872,500","1,695,200","1,817,000","1,489,200","1,592,700","37,900","11,300","1,108,500","928,500","701,800","496,000","19,700","27,000",,,,
1917,"4,667,200","4,147,200","1,540,500","996,000","1,264,900","1,392,400","92,200","67,000","1,124,400","1,244,300","634,000","438,000","11,200","9,500",,,,
1918,"3,955,700","3,121,900","1,347,400","1,026,400","1,088,700","1,027,000","51,700","28,200","953,300","780,400","505,800","253,100","8,800","6,900",,,,
1919,"3,233,500","2,058,000","975,200","498,700","896,200","686,900","8,800","2,800","884,800","623,900","463,800","240,600","4,800","5,100",,,,
1920,"2,597,800","1,250,800","596,600","119,400","776,300","404,400","18,800","8,500","779,800","407,500","421,600","305,300","4,700","5,800",,,,
1921,"3,671,400","3,969,300","1,265,600","1,513,900","929,100","1,074,200","71,800","100,800","877,200","931,800","516,300","333,100","11,400","15,400",,,,
1922,"3,933,200","3,512,600","1,293,000","1,163,900","1,056,700","1,193,900","66,600","82,300","964,800","678,500","540,800","378,200","11,300","15,700",,,,
1923,"3,951,300","2,978,200","1,190,900","780,200","1,070,100","971,500","58,900","51,100","992,800","782,900","628,400","376,900","10,200","15,500",,,,
1924,"3,860,900","3,400,900","1,191,900","902,900","993,100","1,028,600","20,700","6,600","978,700","939,800","670,500","514,600","5,900","8,300",,,,
1925,"4,380,800","4,477,600","1,436,700","1,626,600","1,094,800","1,289,100","76,500","75,600","1,011,700","830,400","755,800","649,700","5,200","6,300",,,,
1926,"4,128,400","3,115,400","1,183,700","920,000","1,017,200","796,200","67,200","53,700","997,800","778,000","854,700","556,800","7,700","10,700",,,,
1927,"4,730,000","4,407,000","1,356,800","1,293,900","1,179,800","1,276,000","23,100","10,300","1,120,400","967,200","1,040,500","845,100","9,400","14,500",,,,
1928,"4,965,600","3,215,600","1,226,200","736,000","1,240,000","712,000","87,000","102,900","1,190,400","654,600","1,213,500","989,300","8,500","20,900",,,,
1929,"6,005,100","4,344,200","1,655,200","1,340,600","1,505,000","1,274,200","88,300","68,400","1,394,400","729,700","1,353,100","919,100","9,100","12,300",,,,
1930,"6,060,300","3,451,400","1,608,200","936,400","1,443,200","691,600","82,600","115,200","1,475,400","635,000","1,444,000","1,063,000","6,800","10,200",,,,
1931,"7,350,400","5,810,800","2,078,000","1,792,900","1,861,600","1,464,600","110,200","138,900","1,691,800","948,500","1,600,900","1,455,300","7,800","10,600",,,,
1932,"5,965,000","5,185,300","1,490,400","1,495,900","1,443,100","1,141,900","100,700","105,100","1,647,700","1,308,100","1,278,400","1,129,400","4,700","4,900",,,,
1933,"6,378,800","5,818,900","1,944,100","2,146,500","1,307,500","1,302,100","101,200","67,800","1,645,800","1,154,100","1,371,700","1,136,700","8,500","11,700",,,,
1934,"6,029,100","4,823,200","1,855,100","1,552,800","1,235,500","1,159,700","93,900","118,600","1,546,700","962,200","1,288,200","1,014,700","9,800","15,200",,,,
1935,"5,075,800","3,628,000","1,575,300","1,324,800","995,000","703,500","89,700","110,900","1,290,300","746,500","1,118,700","734,000","6,700","8,300",,,,
1936,"4,838,200","3,923,100","1,558,600","1,328,700","940,400","1,022,000","97,000","73,200","1,209,800","859,900","1,028,200","634,200","4,200","5,000",,,,
1937,"4,983,900","4,118,500","1,611,800","1,515,000","968,700","1,166,000","114,800","54,800","1,237,700","781,000","1,042,200","586,100","8,600","15,400",,,,
1938,"5,557,600","5,093,500","1,806,800","1,499,700","1,087,000","1,311,100","150,900","102,000","1,279,500","1,181,300","1,224,800","985,300","8,500","14,200",,,,
1939,"5,805,000","4,225,600","1,882,100","1,630,200","1,112,200","492,700","178,900","233,500","1,246,600","861,500","1,381,100","1,002,100","4,000","5,500",,,,
1940,"5,375,300","5,725,900","1,772,800","2,083,400","1,144,200","1,226,200","146,500","184,800","1,106,700","1,117,200","1,202,100","1,111,400","3,000","2,900",,,,
1941,"5,116,300","2,236,300","1,802,500","651,400","1,081,600","368,000","130,300","154,700","1,036,200","485,700","1,062,500","572,800","3,300","3,800",,,,
1942,"4,857,200","4,535,400","1,606,100","1,320,000","1,115,800","1,277,900","117,700","83,800","941,200","829,900","1,073,800","1,020,000","2,600","3,900",,,,
1943,"3,755,200","4,236,500","1,227,400","1,406,900","868,100","1,137,700","135,500","136,100","813,000","993,500","709,500","560,300","1,700","2,000",,,,
1944,"3,186,400","2,984,300","1,089,900","1,292,700","725,800","537,100","113,800","138,300","620,700","562,800","634,200","450,200","2,000","3,300",,,,
1945,"3,424,300","1,438,600","1,151,300","466,300","866,700","95,200","134,500","189,900","656,900","251,400","613,400","433,300","1,600","2,500",,,,
1946,"4,623,000","3,873,900","1,527,200","1,701,500","1,315,800","806,500","158,800","222,700","876,200","572,100","742,900","569,300","2,000","1,800",,,,
1947,"5,332,300","3,188,900","1,810,900","426,800","1,416,900","1,332,800","100,400","19,200","1,019,400","759,000","981,700","647,400","3,100","3,800",,,,
